Service Description,Service Classification
"This BAIN REST API is a cross channel capability that may use any device/tag or secret information to authenticate a party that is powered by IBM's API Management solution in Bluemix. It is assumed a number of authentication levels will be defined for a deployment and channel or device specific variations may be required. Code examples available for cURL, Ruby, Python, PHP, Java, Node and Go. BAIN Is the Banking Industry Architecture Network that defines SOA and semantic definitions for IT services in the banking industry.",Banking
"This BAIN REST API administers the transaction records of general products or services for day to day financial tracking and is powered by IBM's API Management solution in Bluemix. Code examples available for cURL, Ruby, Python, PHP, Java, Node and Go. BAIN Is the Banking Industry Architecture Network that defines SOA and semantic definitions for IT services in the banking industry.",Banking
"This BAIN REST API is used for servicing and fulfillment controls covering products, services and channel/device usage entitlements and is powered by IBM's API Management solution in Bluemix. Use it for referencing channel access controls and utilization limits. Code examples available for cURL, Ruby, Python, PHP, Java, Node and Go. BAIN Is the Banking Industry Architecture Network that defines SOA and semantic definitions for IT services in the banking industry.",Banking
"This BAIN REST API is used to orchestrate the processing of an offer for a new customer or an existing customer and is powered by IBM's API Management solution in Bluemix. The Offer process it defined is primarily the nature of the product or service being considered including document checks, collateral allocation, credit assessments, underwriting decisions and more. Code examples available for cURL, Ruby, Python, PHP, Java, Node and Go. BAIN Is the Banking Industry Architecture Network that defines SOA and semantic definitions for IT services in the banking industry.",Banking
"This BAIN REST API is used to capture and retrieve card payment transactions through the merchant network and is powered by IBM's API Management solution in Bluemix. It supports the point of sale network capture of authorized card transactions, initiating the appropriate principal debit and any associated transaction fees from the card facility. Code examples available for cURL, Ruby, Python, PHP, Java, Node and Go. BAIN Is the Banking Industry Architecture Network that defines SOA and semantic definitions for IT services in the banking industry.",Banking
"Skygear provides a backend which can integrate functionality with applications such as chat, push notifications, user management, geolocation, sync capabilities, and bots. Additionally, Skygear offers deployment, data storage, and reusable plugins; so, developers will not need to start from scratch to build applications like social platforms or messenger bots. For pricing, Skygear offers 3 hosting plans, and a free option is available as well.",Backend
"This BAIN REST API and is powered by IBM's API Management solution in Bluemix. Code examples available for cURL, Ruby, Python, PHP, Java, Node and Go. BAIN Is the Banking Industry Architecture Network that defines SOA and semantic definitions for IT services in the banking industry.",Banking
"This BAIN REST API is used to maintain details of the use and state of locations of interest and is powered by IBM's API Management solution in Bluemix. The maintenance of location details are used to support more dynamic sales and servicing activities enabled by mobile devices and tracking. Code examples available for cURL, Ruby, Python, PHP, Java, Node and Go. BAIN Is the Banking Industry Architecture Network that defines SOA and semantic definitions for IT services in the banking industry.",Banking
"This BAIN REST API orchestrates a schedule of payment transaction and reporting activities for the fulfillment of certain long term instruments or structured facilities and is powered by IBM's API Management solution in Bluemix. Code examples available for cURL, Ruby, Python, PHP, Java, Node and Go. BAIN Is the Banking Industry Architecture Network that defines SOA and semantic definitions for IT services in the banking industry.",Banking
"This BAIN REST API is used to administer rewards point accounts for consumer customers and is powered by IBM's API Management solution in Bluemix. Rewards points are handled as a pseudo currency with no associated interest activity but with the specific need to handle expiry and various conversion and redemption requirements. Code examples available for cURL, Ruby, Python, PHP, Java, Node and Go. BAIN Is the Banking Industry Architecture Network that defines SOA and semantic definitions for IT services in the banking industry.",Banking
"The Apifaketory API is a gateway to a database of broad categories of content. It processes random data of a variety of bundled items that include: demographic profiles of correspondents, published blog posts, descriptive parameters of personal finance transactions, and markers of geographic locations. The API is capable of filtering the profiles of multiple users on the basis of personal details such as locations, billing entries, and other demographic details. The RESTful API returns JSON-formatted responses.",Application Development
"This API allows you to manage master, device, collection, and distribution keys for all resources or a device or stream while using the AT&T M2X REST API. M2X is a cloud-based data storage service and device management tool for Internet of Things.",Internet of Things
Manage M2X device distributions using this API. It will allow you to represent a group of Devices that begin with the attributes of the original device template when created. ATT M2X is a cloud-based data storage service and device management tool for Internet of Things.,Application Development
This API from ATT uses the MQTT protocol to streamline the connection between devices and M2X. This allows you to build applications and services as well as gather and translate data in real-time. This cloud-based API will manage your devices and notifications all from one central location. ATT M2X is a cloud-based data storage service and device management tool for Internet of Things.,Application Development
"GlimpseDash is a TV dashboard system created for offices with the purpose of displaying motivational data (Motivational Dashboard). This SaaS offers themed dashboards for motivation and engagement within a team. Additionally, this system works in computers, mobile devices, and Smart TVs. The GlimpseDash API responds in JSON format.",Analytics
"The repl.it Code Evaluation API allows developers to run codes in builder applications or browsers. It provides two distinctive interface options; the HTTP interface and Websocket interface. The HTTP interface allows a user to execute a particular code or numerous files using single API calls. The Websocket interface, on the other hand, facilitates the execution of codes in stateful environments. This makes it possible for users to alternate the calls for defining and accessing variables. The repl.it Code Evaluation API stands out as a secure, multi-lingual, and interactive cloud-compliant solution that is flexible to a variety of devices and platforms. Its paid packages include the Standard Plan, Unlimited Plan, and Large Plan that charge monthly costs of $149, $300, and $1,300, respectively. There is also a free plan, although it offers limited runs compared tot eh paid options. The API is a full release and is accompanied by sufficient documentation.",Application Development
The Synoptic Data integrates weather information into applications. It is available in JSON architecture with SSL GET requests. Tutorials available at https://api.synoptic.io/tutorials/,Weather
"The Reflect API aims to offer developers a data visualization API by allowing for the creation of dashboards, reports, and views of data in databases without building and scaling complex data visualization infrastructure and libraries.",Analytics
"The Kontomatik Banking API is a read-only API that allows financial institutions to access their users' banking data programmatically. This includes personal data, account balances, and full statements. Kontomatik is a product that allows financial institutions to obtain KYC, perform credit scoring, and build accurate profiles of their customers in order to provide contextual offers.",Banking
"The Notion API enables easy reporting for the visualization of your historical and real-time data. Notion helps teams manage and understand their KPIs, metrics, product, and team performance.",Analytics
"The Lucidworks API integrates data intelligence search features with the aim to build better applications, driven by analysis. It is available in REST format with HTTP using SSL. Lucidworks is a big data applications platform.",Application Development
"The Mode API integrates analytics into applications, to create charts and report data. It is available in JSON architecture with Ruby and Python SDKs, libraries that provide token and shared secret authentication. Mode Analytics provides SQL editor, Python notebook, and visualization builder for data analysis.",Analytics
"The IOStash IoT PaaS API allows developers to integrate an Internet of Things (IoT) platform into their own applications. IOStash's IoT platform provides multiple M2M interfaces and real time data delivery. It can securely consolidate, filter, and distribute data from IoT devices and other assets to enterprise applications and mobile apps. IOStash is free for personal use.",Internet of Things
"The Traffic Planning API offers metadata obtained from lighting sensors along public roadways. Information such as speed, and direction is available for historical and real-time development purposes. This REST API returns data in JSON format, and uses OAuth 2 and Tokens for authentication. Predix is an industrial software platform developed by General Electric Digital which aims to improve asset performance management (APM), operations, and business.",Internet of Things
"The Asset Data API can create and store instanced asset models for machine types. For example, an asset model that includes all pumps in an organization. This REST API returns data in JSON format, and uses OAuth 2 and Tokens for authentication. Predix is an industrial software platform developed by General Electric Digital which aims to improve asset performance management (APM), operations, and business.",Internet of Things
"The Time Series API offers sensor data management, distribution, and storage. Four priced plans are available. This REST API returns data in JSON format, and uses OAuth 2 and Tokens for authentication. Predix is an industrial software platform developed by General Electric Digital which aims to improve asset performance management (APM), operations, and business.",Internet of Things
"The Tableau REST API provides HTTP access to programmatic solutions for managing and manipulating the functional resources of the Tableau server. The API allows users to access a variety of functional parameters that include: website visitors, data sources, and workbooks. Users can alternatively deploy the API in the customization of the applications or in the scripting of interchanges with the resources that are available in the Tableau Server. Use of this RESTful API requires the upwards of version 8.2 of the Tableau server.",Application Development
The Validated API intends to work by offering developers accessing to transportation costs for business owners. The API is accessible through request only. Validated allows merchants to pay for a customer's transportation to visit their business,Shipping
"Inspectlet is a service to analyze users with Heatmaps and screen capture while recording actual visitor sessions. Then search and retrieve your session recordings online using this JSON-based API. inspectlet can be modified for complex searches by name, country, tags, IP, browser, device and more.",Analytics
The Fanpage Karma API integrates social media profile analysis into applications. It provides callbacks' interaction in JSON and REST protocols. Developers can authenticate with token. Fanpage Karma is a service that helps users compare social media profiles to competitors in order to improve social reach.,Analytics
"The TM Forum Party Management API allows developers to manage parties programmatically. A party may be any individual or organization that has a relationship with an enterprise. TM Forum is a global member association for digital businesses. They provide a platform on which members from a wide range of industries can create, prototype, deliver, and monetize digital services for their customers.",Events
The Netbeast API is a builder platform for automating the deployment of IoT applications. The API uses automated dashboard controls to synchronize the functioning of IoT devices and appliances. The multifunctional attributes of the API stretch to OS hosting capabilities for embedded devices such as Beaglebone and Raspberry Pi. It is also supports most OS platforms including Linux and Windows. Netbeast API transmits requests and responses in JSON format.,Internet of Things
"Telepat is a San Francisco based application development platform which features document feed management, live event interaction, and big data and social graphs support. This platform pushes updates and events to devices instead of waiting for a third party application to make API calls and obtain information. This real time approach allows for flexible deployment and simple scaling. The Telepat API uses JSON format for data exchange, and Tokens for authentication.",Application Development
"The World Weather Online Local City Weather API integrates forecast predictions according to local venues. Formats include CSV, JSON, and XML.",Weather
"The World Weather Online Ski Weather API integrates forecast for chance of snow, freeze level, temperature, precipitation, and expected snow fall. Available in XML and JSON formats with Api Key.",Weather
The OCBC Bank ATM Locator is a mapping solution for searching locations and directions to nearby ATMs in particular addresses. Developers can use it to create ATM location markings on maps to serve as graphical reference for users. The API is provider is a leading Singaporean bank with international operations in 17 countries. The OCBC Bank ATM Locator API returns JSON-formatted responses to calls made using the HTTP GET method.,Banking
The OCBC Bank Forex API delivers the real-time updates of foreign exchange rate movements of international currencies relative a base currency. Developers can incorporate the API in apps for forex display boards or screens. Its provider is a leading Singaporean bank with international operations in 17 countries. The API returns JSON-formatted responses to calls made using the HTTP GET method.,Banking
The OCBC Bank Credit Card Advisor provides an interactive platform for recommending credit card options on the basis of user-generated preferences and profiles. Developers can use the API to create apps that automate collection of users i financial and lifestyles profiles and instant conversion of the data into tailored credit card recommendations. The API is provider is a leading Singaporean bank with international operations in 17 countries. It returns JSON-formatted responses to calls made using the HTTP GET method.,Banking
The OCBC Bank Branch Locator API uses longitudinal and latitudinal data to generate information of the exact geographic positions of specific operating units of OCBC is expansive branch network in Singapore and internationally. It allows users to spot the physical addresses and operating hours of the branches. The API returns JSON-formatted responses to calls made using the HTTP GET method.,Banking
"The OGC SensorThings REST API by SensorUp allows developers to access and integrate the functionality of OGC SensorThings with other applications. Some example API methods include retrieving a list of sensors, accessing connected objects, and returning locations of objects. OGC SensorThings provides an IoT (internet of things) data exchange platform based on open geospatial and ISO standards.",Internet of Things
The Pitney Bowes Shipping API allows developers to add feature-rich USPS shipping capabilities to e-commerce applications. Pitney Bowes is a company that enables the sending of parcels and packages across the globe.,Shipping
"The Ticketmaster International Discovery API allows developers to integrate the ability to search for information on events, attractions, or venues (including ticket information) into their applications. By default, API users can make up to 5000 calls/day. Rate increases are provided on a case-by-case basis. Ticketmaster is an online ticket retail platform that offers tickets for concerts, sporting events, plays, fairs, and more.",Events
"The Ticketmaster Discovery API allows developers to programmatically search, look up, and find specific events, attractions, venues, and classifications. By default, API users can make up to 5000 calls/day. Rate increases are provided on a case-by-case basis. Ticketmaster is an online ticket retail platform that offers tickets for concerts, sporting events, plays, fairs, and more.",Events
"The Ticketmaster Publish API allows developers to publish events, venues, and attractions so that they are available for retrieval using the Discovery API. By default, API users can make up to 5000 calls/day. Rate increases are provided on a case-by-case basis. Ticketmaster is an online ticket retail platform that offers tickets for concerts, sporting events, plays, fairs, and more.",Events
"The World Weather Online Historical or Past Weather API integrates previous forecast records into applications. It is available in CSV, JSON, and XML formats.",Weather
"The Weather Online Local City and Town Weather integrates forecast predictions according to location. It is available in CSV, JSON, JSONP, and XML formats.",Weather
"The World Weather Online Marine, Sailing, Surfing Weather API integrates forecast data into web services and mobile applications. XML, JSON, and REST are available as protocols to make callbacks.",Weather
"Space Bunny is an Internet of Things platform that can be used to monitor live streams, and to remotely control devices. This platform features safe message queues, user management, protocol bridging, and data stream separation. The Space Bunny API supports smart home and industrial application development. This API exchanges information in JSON format, and uses API Keys for authentication.",Internet of Things
"The Meteotest Data Exchange API provides data and weather forecasts. Available in German language, Meteotest offers measurements of the past and forecasts of the future, in addition to information about temperature, sunshine, rain showers, snow and wind and fog and thunder and lightning calculated by Meteonorm software. Protocols include JSON, JSONP, XML, YAML, CSV, and Text. Accessible with Key.",Weather
"Content analytics API for providing metrics on content, often distributed inside a web application or around the web. Metrics include: People, Social Shares, Impressions, Earned Impressions, Virality, Engagement, % Scroll, Attention Minutes and more.",Analytics
"Stride.ai TexSIE API allows users to collect data about text found on social media and other sources based on sentiment and machine learning algorithms. API methods allow users to get the sentiment of a document, keywords, sentences, entities, tweet or any kind of text blob. The API can recognize people, cities, organizations and more within text, can determine whether text is positive, negative or neutral, and can generate a short summary of text.",Analytics
"The Windyty API is a free public API that developers can use to add an interactive animated weather forecast map to applications and websites. The Windyty animated map displays information and forecasts for wind, clouds, waves, temperature, and more. The API requires the Leaflet JavaScript library.",Weather
"The Kumulos API allows users to access data stored in their tables programmatically. Kumulos is an application creation, monetization, MBaaS, and management platform. Developers can brand Kumulos as their own and manage all of their clients and apps from a single location.",Application Development
"The Kaa Admin API allows developers to integrate their own applications with its internet of things (IoT) platform. The open source Kaa IoT platform provides an unobscured cloud for IoT development. It allows users to connect and manage their devices via the cloud, prototype smart products, collect and analyze data in real time, scale IoT solutions, and deploy IoT solutions anywhere.",Internet of Things
"leanIX is an information technology company based in Germany that offers information hub services. leanIX focuses on providing control in IT landscapes, and features application portfolio management, integration architecture management, and technology and risk management. The leanIX API is used to read and write fact sheets. This API is REST based, exchanges information in JSON format, and uses API Keys for authentication.",Application Development
"The NZ Post ParcelLabel API allows developers to connect the parcel labelling functions with their warehousing and eCommerce systems. This enables them to produce pre-printed labels. ParcelLabel can be implemented in conjunction with ParcelAddress API and ShippingOptions API, or independently, depending on the business i needs. Labels are provided in PDF & PNG format and can be printed from most commercially available printers. Available for access by NZ Post Customers with commercial parcel-sending accounts only.",Shipping
"The NZ Post ParcelAddress API allows developers to integrate the addressing functionality into their web applications. The ParcelAddress API database is continuously updated so that developers and their customers can have access to New Zealand is most comprehensive list of addresses. ParcelAddress also identifies NZ rural addresses, ensuring that the correct delivery services can be displayed. International addressing is also available within this API. Available for access by NZ Post Customers with commercial parcel-sending accounts only.",Shipping
"The NZ Post ParcelPickup API allows developers to integrate the scheduling services into their applications, enabling businesses to tailor pick-up frequency to their business needs. The benefits of using ParcelPickup include: 1) One process for requesting parcel pick ups from either CourierPost or Pace 2) Return of a confirmation number so there is a single point of reference. Available for access by NZ Post Customers with commercial parcel-sending accounts only.",Shipping
"The NZ Post ParcelTrack API allows developers to integrate tracking events for domestic and international deliveries into their own ecommerce system, based on network scan events. The ParcelTrack API can also be used to retrieve the shipping history of a NZ Post, CourierPost or Pace parcel. Available for access by NZ Post Customers with commercial parcel-sending accounts only.",Shipping
"The NZ Post Shipping Options API allows developers to integrate choice and control of shipping options functionality into their applications. The shipping options include identifying rural delivery and the add-ons available, such as evening delivery and signature required. Available for access by NZ Post Customers with commercial parcel-sending accounts only.",Shipping
"The NZ Post ParcelNotification API allows developers to integrate the ParcelNotification API into their applications, enabling them to keep their customers informed about their parcels delivery status, as well as to minimize calls related to parcel delivery status. Available for access by NZ Post Customers with commercial parcel-sending accounts only.",Shipping
"Kuzzle is a backend designed for application development. This platform can be used to create IoT applications, games, business oriented applications, and mobile applications. The Kuzzle API is REST based, exchanges information in JSON format and uses Tokens for authentication. Kuzzle is based in Montpellier, France.",Backend
"The Planet OS API provides access to a growing catalog of Earth data from the world's most respected providers. Developers, researchers, and climate specialists can integrate environmental data into applications, analyses, and other data-driven solutions. The RESTful API requires an API key to make requests and is accessible for free with a basic account. Planet OS focuses on collecting earth, environment, weather and climate data through IoT sensors.",Weather
"Bt.tn is a big physical button powered by AA batteries that can be programmed to perform certain tasks. The Bttn intends to offer developers a REST API to program a press to trigger web events, initiate purchases, augment work environments, and more. The API action supports the GET, POST and PUT HTTP methods.",Internet of Things
"The meteoblue API is an interface for weather data designed to receive forecasts from direct HTTP requests to meteoblue servers. The requests are executed instantaneously and always provide latest up-to-date data. The meteoblue API provides updated local weather information for systems, weather information for each location on Earth (or in the ocean) from coordinates (latitude/longitude) and altitude (asl), flexible requests adapted to user demand (no pre-programmed daily downloads), and the opportunity to minimize infrastructure for hosting weather data.",Weather
"Engine Yard offers a platform designed for support and automation of application deployment. This platform features monitoring, telemetry, internal access logging, automated provisioning, and environment and instance automation. The Core API is used to implement Engine Yard's PaaS. This API is REST based, returns data in JSON or XML format, and uses Tokens for authentication.",Application Development
"The Windows Store Analytics API offers data retrieval about a specific application related to a Windows Dev Center account. It can be used to obtain data associated with in-app product (IAP) acquisitions, errors, app ratings, and reviews. The Windows Store Analytics API uses Azure Active Directory (Azure AD) for call authentication. Developers must have a user account in the Azure AD directory to be associated with their Windows Dev Center account. This API responds in JSON format, and uses Tokens for authentication.",Analytics
"The Pacejet shipping software API provides RESTful integration to quote, buy, and track shipments for parcel, freight, 3PL carriers and services. Quoting, rate-shopping, shipping execution with paperwork and label automation for more than 70+ shipping services. Pacejet is the leading cloud-based shipping software platform for popular ERP software applications from NetSuite, SAP, Infor, Plex, Microsoft, Acumatica, and more.",Shipping
"The WeatherBug Pulse API allows developers to retrieve live weather conditions, forecasts, lightning information, and severe weather warnings for all US zip codes. WeatherBug is a full source weather provider that offers exclusive data from its network of over 8,000 weather observation stations. WeatherBug is available for free on a variety of platforms including Android, iOS, and Windows desktop.",Weather
"Wintersmith is a Node.js API that offers application development platforms for developers. The API is paired with a web library that aims to be built upon with developer customized plugins and structure. Wintersmith site generator includes plugins for Markdown, style, templating plugins, and more for users to output static websites.",Application Development
"MoBagel is a real time analytics platform designed for Internet of Things devices. It features machine learning, predictive analytics, and triple encryption. This API uses JSON data format, and API Keys for authentication. MoBagel offers a free test plan, and 2 priced plans with different request limits.",Analytics
"The IP Bouncer API gives developers access control for any visitor's IP address, based on a set of rules. Ruling system allows the application owner to ban a specific user, an IP range or an IP based in a specific country. IP Bouncer provides an easy IP blacklisting mechanism as a service.",Application Development
"The PNPLINE Web API allows developers to submit and retrieve shipment information. PNPLINE is a warehousing and third party logistics firm that helps customers meet their business needs by managing fulfillment from big box stores such as Amazon, eBay, and Groupon. They provide drop shipping, extra packaging, inner packaging, and other shipping and warehousing services.",Shipping
"Apigee Edge API is a RESTful developer resource for accessing a range of API management services via HTTP client paths. The Apigee Edge makes it possible for developers to deploy scheduled scripting, and ultimately automate their development and management endeavors, such as the management of apps and creation of API products or API proxies. The fully released and documented API is anchored on the Edge management UI and requires HTTP requests, which in turn, generate responses in XML and JSON formats. Apigee Edge is provider, the Apigee Corporation, is a leading vendor of proprietary solutions for managing APIs.",Application Development
"Samsung ARTIK Cloud is an open data exchange platform designed to bring order to the chaos, break down the silos, and empower you to bring about the promise of IoT. With easy to use, open APIs and tools, you can collect, store and act on any data from any device or cloud service.",Internet of Things
"Agency Analytics is a marketing platform for agencies that provides reports with SEO tools, social media, web, and PPC analysis. The Agency Analytics REST API allows users to access market analysis features in JSON outputs. HTTP basic and API Key are required to authenticate.",Analytics
"Wia is a cloud based backend for developing Internet of Things applications. It features device management, events collection, analytics, and push notifications. The Wia API is REST based, uses Tokens for authentication, and returns data in JSON format. Wia is based in the U.K. and provides its services to makers, startups and enterprise users.",Internet of Things
The Appreciation Engine REST API allows developers to access and integrate the functionality of the Appreciation Engine with other applications. Public documentation is not available; API access comes with account service. Appreciation Engine provides services and insight to brands and companies based on their customer data.,Analytics
"Zoho Creator is a multi-language supported API that enables developers to create database applications for business. Defined as a LoCoding platform for developers with minimal coding knowledge, Zoho Creator allows applications to be built by dragging and dropping functionalities to projects. Zoho Creator is intended for an assortment of business uses such as: designing workflows, managing tasks and reminders, and creating dashboards and reports. Creators can design applications in PHP, ASP, JSP, Perl or on any other programming language. Documentation available through creating a Zoho Account.",Application Development
"The Weaver API provides tools for developers using the Weaver Internet of Things services and frameworks. Use of the Weaver API enables handling many devices with no relation to brand or vendor. Weaver strives for user-friendly, efficient, scalable, and cost effective service for developers connecting apps with IOT devices such as smart bulbs, thermostats, and much more.",Internet of Things
"The Elasticode API helps users integrate Elasticode's capabilities directly. Elasticode is a service to help create more personalized mobile user onboarding experiences. To create an API key, follow the regular path to create an app, and choose the API option. More information about the Elasticode API is available upon contacting Elasticode directly.",Application Development
The Ents24 API gives developers access to the UK is most comprehensive live entertainment database. The API is REST based with CORS enabled. Ents24 allows users to browse and buy tickets for music events in the UK. Users can follow performers for gig alerts.,Events
"The wercker API is a preview version limited to accessing information about builds, deploys and applications. This API uses several conventions relating to detailed and summarized representations, HTTP verbs, error mapping, and time related fields. Wercker focuses on automating development by moving from code to containers and is a platform for the modern cloud.",Application Development
"The Vetr API gives developers access to Vetr's crowdsourced investment research data. Vetr calculates a star rating and target price for stocks through algorithms, news, and user input. The Vetr API is RESTful, and can be accessed by obtaining an API key via contacting contact@vetr.com.",Stocks
"mnubo is an analytics platform that aims to improve different kinds of hardware by extracting value from sensor data. mnubo accomplishes this by collecting object data which is processed within mnubo's cloud based platform in order to provide strategic insight. SmartObjects is mnubo's proprietary software suite which provides descriptive, predictive, and prescriptive analytics. mnubo delivers its services to the automotive industry, wearable manufacturers, construction industry, and healthcare providers.",Internet of Things
"The Parcelhub API offers developers a means to book and send parcels automatically. It intends to provide one identical interface supported by Parcelhub by writing a program that gives access to clients such as DHL, Yodel, Parcelforce, Hermes, DX, DPD, UKMail, Palletforce and Parcelhub European. Parcelhub is a delivery distribution company.",Shipping
"Beagle is a range of wireless sensors that you can place throughout your home or office. Each sensor monitors either air quality, temperature, outdoor noise, indoor noise, air pressure, humidity, or light. Use the Beagle Sense API to access each sensor its data. The API uses GET methods over HTTPS with responses in JSON. Collected data is transmitted over a private wireless network to a local base station where it is securely communicated to Beagle's Cloud Service. A few of the available API methods allow you to return a list of all devices, retrieve raw data from all sensors, or configure your sensor.",Internet of Things
"The FeedSyndicate Weather API allows developers to access up-to-date weather information for their web and mobile applications. The feed is dynamically generated based on the user's zip code, Location ID, or geocode and can provide up to a 7-day forecast. This API provides weather data for thousands of locations, both in the U.S. and internationally. FeedSyndicate provides full news to entertainment content feeds for websites and applications.",Weather
"The FeedSyndicate Stocks and Markets API allows developers to get delayed quote data that is updated each minute during trading hours and delayed according to individual exchange requirements. This API is derived from the FeedSyndicate Stocks, Markets, and Indices Data feeds, which provide access to continuously updated stocks, markets, and index data from over one hundred major markets around the world. FeedSyndicate provides full news to entertainment content feeds for websites and applications.",Stocks
"The AKKA API aims to enhance application development. AKKA is available for Java and Scala & HTTP formats can be accessed from Maven central. For support, send a message to info@typesafe.com",Application Development
"Zoho Reports is a RESTful API that allows users to manage and analyze business data. Regardless of the field of business, users can create dashboards or spreadsheets, synchronize data from a variety of sources, and create visual content to facilitate understanding. Zoho Reports is a HTTP web based API, and offers a platform through which developers can synchronize Zoho Reports with preexisting platforms, or thirparty applications. Language wrappers are also provided.",Analytics
"The Imperavi API works as a plugin to use Redactor, a WYSIWYG text editor that developers can use to develop applications. The aim of Imperavi is to provide immersive user experiences by creating powerful and simple web apps.",Application Development
"Sidecar is a cloud service for Internet of Things applications. It can be used as a backend for wearable software infrastructure. The Query API complements the Event API by providing analytics data. Sidecar offers 3 pricing plans; one is for testing purposes. This API is REST based, and uses Access Keys, and Shared Secret Keys for authentication. Sidecar develops wearable devices that help people optimize health decisions.",Backend
"Sidecar is a cloud service for Internet of Things applications. It can be used as a backend for wearable software infrastructure. The Provision API is used to manage application users and groups, notifications, access keys, and devices. Sidecar offers 3 pricing plans; one is for testing purposes. This API is REST based, and uses Access Keys, and Shared Secret Keys for authentication. Sidecar develops wearable devices that help people optimize health decisions.",Backend
"Sidecar is a cloud service for Internet of Things applications. It can be used as a backend for wearable software infrastructure. The Event API is used to send and receive event data to wearable sensors. Sidecar offers 3 pricing plans; one is for testing purposes. This API is REST based, and uses Access Keys, and Shared Secret Keys for authentication. Sidecar develops wearable devices that help people optimize health decisions.",Backend
"The DeviceHub API allows developers to integrate the solutions available from DeviceHub platform into their applications, to develop IoT projects for different devices. DeviceHub is a PaaS (Platform as a Service) company that enable hardware/mobile developers to connect and to manage multiple devices remotely.",Internet of Things
"The Velocity Weather API allows developers to incorporate the Baron Weather service into their applications. Data products in the API fall into two categories C Text and Graphical products. Text products are returned in either JSON or JSONP text formats, and can be displayed on a map or integrated into a user interface. Graphical products are images, provided in PNG format for overlay onto a map. Data provided includes shore wave conditions, tornado tracking, roadway conditions, Baron provides actionable and intelligent weather services helping business across several industries mitigate dangerous weather.",Weather
"Clever Banking API is a banking platform; send and receive Euros, Dollars, and Bitcoin. CleverCoin's API is partnered with all major payment channels including: Visa, Mastercard, Sepa, Ideal, and Bitcoin. The Clever Banking API offers fraud protection, Bitcoin conversion, multi-signature transfers, and is compliant with European Regulations. API documentation can be obtained through contacting CleverCoin.",Banking
"The Udger Cloud Parser is a data analytics API. This API detects and connects a variety of devices, client SW, and operating systems to Udger servers for real-time data acquisition. This RESTful API is intended for small volume detection operations.",Analytics
The Mobingi REST API allows developers to access and integrate the functionality of Mobingi with other applications. Public documentation is not available; API access comes with account service. Mobingi provides cloud application development and management tools and services.,Application Development
"The moCloud REST API allows developers to access and integrate the functionality of moCloud with other applications. Some example API methods include managing users, deploying and managing applications, and managing stacks. moCloud is an application management platform that allows users to build, run, and deploy their applications.",Application Development
"The RussianSentimentAnalyzer API is a language parser that can be integrated to existing applications. It analyses Russian text and its sentiment polarity if it exists. It supports any input text such as long formal news articles or informal, short tweets. This API responds in JSON format, and requires an API key.",Analytics
"The Heroku Connect API is an application development platform, and is used to exchange data between a Salesforce organization and a Heroku Postgres database. It can be used to sync accounts, and custom objects from Salesforce. This REST API responds in JSON format, and uses OAuth version 2.0 for authentication. Salesforce is based in San Francisco, and develops CRM software.",Application Development
"Priava offers venue & event management services in the cloud. The Priava API allows developer access to the platform for integrating into third-party applications. API methods include query for venues, event types, create and get contacts, opportunities, or event sources and more.",Events
"With the BaasBox API, developers can integrate backend solutions to mobile applications. The open source interface provides JSON and REST formats accessible with an Api Key. Additional resources include console, plugin engine, and user cases. BaasBox offers backend services for mobile applications.",Backend
"The Picatic API gives users tools to sell tickets online, directly from your app or website. The Picatic API also provides the ability to quickly create new events, list events on your own website, create links to purchase tickets online, retrieve and store data from events, automatically add registrants to a CRM, send triggered emails based on actions, view attendee, order and survey information, and more. With this API, users get real-time access to reporting data and can create personalized reports. Picatic is a ticketing platform with a unique approach to let promoters create event pages to generate funding before events are booked.",Events
"The MOCA API offers a variety of services which can be accessed via MOCA's SDKs. The API can be used to automate beacon fleet management, connect your CRM data, schedule proximity campaigns, and query analytics reports. The MOCA API allows developers to access MOCA is raw data for custom analytics and analysis. MOCA is a context-aware platform that uses big data solutions to get in-depth data analysis on users' behavior. It helps companies to make real-time data-driven decisions. This is a private API but developers can access to documentation by signing up for free trial here https://console.mocaplatform.com/signup.",Analytics
"The Bit6 Backend API adds a communications oriented platform to existing applications. The Backend API is used to implement a developer's application server with Bit6. This REST API responds in JSON format and uses OAuth2. Bit6 is based in Houston, and develops communications integration modules.",Backend
"The Bit6 App API adds a communications oriented platform to existing applications. The App API is used for client and server communications (SDKs). This REST API responds in JSON format, and uses OAuth2. Bit6 is based in Houston, and develops communications integration modules.",Backend
"The Bit6 Authentication API adds a communications oriented platform to existing applications. The Authentication API provides several authorization methods including password, OAuth2, and phone number. This REST API responds in JSON format. Bit6 is based in Houston, and develops communications integration modules.",Backend
"figo.io is the first Banking-as-a-Service in Europe. It enables access to every financial services provider through one API. With the figo Banking API developers can integrate the access to a bank account, the history of transactions, and the submission of payments. Authentication is available via OAuth2. Formats in JSON and REST allow to request and receive responses to retrieve bank accounts, modify bank accounts, and remove a PIN number from the server.",Banking
"The InterPlanetary File System API allows developers to programmatically access all of the methods available through its command line interface. The InterPlanetary File System (IPFS) is a peer-to-peer hypermedia distribution protocol that enables the creation of completely distributed applications. It is composed of a distributed hashtable, an incentivized block exchange, and a self-certifying namespace.",Application Development
