Service Description,Service Classification
BinDB is a bank identification number database that helps businesses identify credit and debit cards. The BINDB is widely used for fraud protection and credit card payment processing. BinDB provides a flexible API solutions to query the Issuer Identificaton Number database. An account is required to use the API.,Security
"Axantum's Xecrets is an online password management service that allows users to securely store their passwords, codes, pins, keys, etc. and access them from anywhere. Xecrets is available online through any standard web browser and as an Android App (still in Beta). Passwords are stored in an encrypted online archive, not the Xecrets website. The Xecrets REST API allows developers to write programs and applications that access Xecrets' services.",Security
"4C is a big data and social analytics platform. 4C collects public social data and provides insights and analytics about the relationships between consumers, brands, and behavior. The 4C API allows developers to access and integrate the functionality of 4C with other applications. Public documentation is not available; API access comes with account service.",Advertising
"Universal SMS Advertising enables users to send Flash SMS, Unicode SMS, picture SMS, customized SMS, scheduled SMS, and group SMS in bulk. It can be used to send automated reminders, notifications, and bulk advertisements. Delivery is instant, and users can get status reports for each sent message. Developers can integrate their application or website with Universal SMS's messaging platform via REST API, allowing those apps to auto-generate SMS messages.",Advertising
"Enterprise Communications is a call center service provider that offers clients qualified staff, VoiP calling, redundant infrastructure, emergency call monitoring, and many other features. The Enterprise Communications Dialer API allows users to integrate the predictive dialer system into third party applications. An account is required with service.",Telephony
"RoundSky is a U.S. based advertising service that specializes in payday loans, title loans, and installment loan products. The company provides its services primarily to direct payday loan lenders, installment lenders, title loan lenders, store fronts, and financial market vendors. The RoundSky Lead-Seller API allows users to integrate third party systems with the lead selling service with RoundSky. The API uses REST calls and returns JSON and XML, the API allows users to access multiple price points with static and revenue share pricing as well as get real-time lead response. An account is required with service.",Advertising
"TrustedCoin is a bitcoin security service that offers to add additional levels of security and authentication to bitcoin storage and transactions. The TrustedCoin API uses REST calls and returns JSON. The API allows users to send alerts to prevent unauthorized transactions, create custom wallets, and add additional layers of security on top of bitcoin wallets and other services. An account is required with service.",Security
PC Monitor provides a system and features to remotely monitor and control IT systems from smartphones and tablets. The PC Monitor API allows developers to access and integrate the functionality of PC Monitor with other applications. Public documentation is not available; interested developers should sign up here for an API Key (available with account service): https://www.mobilepcmonitor.com/api/requestkey.,Security
"Gradwell is a communication technology company that provides a variety of services that include broadband internet access, business phone services, email hosting, web hosting, and a computer hardware store. The Call API lets users add a call button to their websites that allows visitors to ask to be called by the user's system. The visitor provides their phone number; one of the user's extensions makes a call to that number; and when the visitor answers, the call is routed to an internal destination.",Telephony
"JOLO is an India-based provider of messaging, web hosting, and mobile recharging services. JOLO's Recharge service allows users to recharge their mobile phones, DTHs, and data cards online. Developers wanting to offer these services to end users on their own websites or applications can integrate with the JOLO Recharge API. In exchange for an annual API access fee, they get paid a commission for every recharge.",Telephony
"Zergo is a multi-site service that provides links to other shopping sites, and allows users to tag and link photos. The Zergo Moscow Metro API allows users to choose Moscow metro stations by ID or name and embed it on third-party websites or blogs. The service uses REST calls and no account is required with service.",Transportation
Invite Referrals is an online marketing campaign service that allows for customer referral programs. Invite Referrals allows users to create and manage customer referral campaigns and contests. The Invite Referrals API allows developers to access and integrate the functionality of Invite Referrals with other applications. The main API method is integrating Invite Referrals into websites and applications.,Advertising
"RealTime Trains provides railway information across the British rail system. RealTime Trains makes use of five feeds from the Network Rail open data platform, and exposes this data through an API. The API is available as a feed that pushes data out, or as a RESTlike API that pulls data through HTTPS calls.",Transportation
"Booking Experts is a Dutch company that helps clients manage hotel and other rental bookings. The Booking Experts platform is able to manage booking, payment, and outside services such as cleaning. The Booking Experts API allows partners to integrate the platform. The API is able to deliver information on properties and tours, including prices and availability. The API, which can communicate in three languages, is also able to handle booking and confirm reservations",Travel
"Evercam is a service that allows users to write code and connect to over 1,600 IP cameras, DVRs and NVRs to make the cameras more useful and integrated with applications. The Evercam API allows developers to access and integrate the functionality of Evercam with other applications and to create new applications. Some example API methods include retrieving camera models, managing users, and connecting to cameras via IP.",Video
"SendinBlue is a platform for managing online marketing campaigns, transactional emails, and SMS messages. It includes tools for designing custom emails or uploading designs from elsewhere. Users may send emails or SMS to all of their subscribers at once or to a subset on a contact list. SendinBlue provides users with statistical reports in order to track and improve their email marketing efforts. Many of the platform's functions are made programmatically accessible via REST API. The SendinBlue website and documentation are available in both English and French.",Advertising
"SITA provides global information and telecommunication solutions for the air transit industry. The SITA iTravel API is a web service that provides developer access to air travel shopping, booking, check-in, loyalty, baggage tracking, and flight and airline information. The API also accesses other value-added information such as intelligence on customer behavior and value.",Travel
"How's My SSL is a site that users can visit and or submit web addresses to to verify the strength of the users SSL or TSL. The How's My SSL API uses REST calls and returns JSON and allows users to test clients without a browser experience. The API s free to use, no account is required and the source information is available on Github.",Security
Wikipedia2Cartoon is a free film generator that allows users to create movies convert webpages and wikipedia articles into cartoon talk shows. The files have smaller file sizes; an hour-long high quality cartoon only will only be several megabytes. The Wikipedia2Cartoon API uses REST calls and allows users to submit webpages through a URL to turn them into cartoons. An account is required with service.,Video
Skycore is a mobile marketing solutions provider that offers its users both SMS (Short Message Service) and MMS (Multimedia Message Service) capabilities via REST API. Users can also create message templates that are automatically customized for the recipient. The Skycore API includes methods for sending and receiving messages as well as for getting delivery reports on previously sent messages.,Advertising
"Adbeat is a service that furnishes users with useful information on other peoples' ad campaigns. It can find the top display ads for over 50,000 publishers, find site-specific ad copy, uncover other advertisers' online strategies, and capture insights with its reporting. The Adbeat API enables developers to access this information for use in their own applications and services via REST calls.",Advertising
"CallRail is a phone call tracking, recording, and analytics service that helps companies understand which marketing sources are driving phone calls online and offline. The CallRail API provides access to data about calls placed through the CallRail call tracking platform. Some example API methods include listing calls, retrieving call information, and retrieving company information.",Telephony
"The MessageBird Messaging API allows developers to send and receive SMS messages to and from any country in the world. Each message is identified by a unique random ID so that users can always check the status of a message using the given endpoint. MessageBird is a cloud communications platform that connects users to their global customers via fast and reliable SMS, Voice and Chat APIs.",Telephony
"EASY MARKETING is an automated online advertising service that has been optimized for Google, Google Shopping, Facebook, and eBay. It is designed to clearly and accurately show how many new customers it brings in, the cost per new customer acquired, and the number of new customers acquired over time. The EASY MARKETING API allows users to retrieve information on a shop's products or product categories, track sales and leads, create a Facebook 'like' button, or push a product to EASY MARKETING for a special promotion. Developers can also embed ad campaign performance data, analysis pages, and quick charts on webpages using iFrames. The website is entirely in German, but the API documentation is in English.",Advertising
"Performance Horizon is a brand marketing management service that provides dashboards, and reports to advertisers, agencies, and publishers who operate marking campaigns around the globe. The API uses REST calls and returns XML and JSON. An account is required with service, and an API Key and SSL are used for access and authentication. The Performance Horizons API provides users with access to the dashboard and report functionality of the Performance Horizon platform, as well as other aspects of the site.",Advertising
"FuelEconomy.gov is the official U.S. government source for fuel economy information. The site features an API that enables developers to programmatically query vehicle fuel efficiency data for a given make, model, and year. This RESTful API is able to deliver emission records, MPG data, and much more.",Transportation
"SportTracks is a fitness tracking service that aims to work with as many devices, applications, sensors, and web services as possible. It can pull users' fitness data from their fitness tracking devices and applications, bringing it all together in one location. SportTracks focuses on delivering clear and useful data for fitness training rather than on social networking. SportTracks is designed to meet the needs of runners, swimmers, and cyclists; support for other athletes is being added continuously.",Sports
"iSpot.tv is a real-time TV advertising metrics service. iSpot.tv provides various TV advertising features for publishers, advertisers, and developers to access real-time TV advertising metrics. The iSpot.tv API allows developers to access and integrate the functionality of iSpot.tv with other applications. Public documentation is not available; API access comes with account service.",Advertising
"Trustev is an online fraud detection and prevention solution. Trustev allows merchants to verify online shoppers and their payments to prevent and eliminate credit card and online fraud. The Trustev API allows developers to access and integrate the functionality of Trustev with other applications. Some example API methods include managing user profiles, managing transactions, and retrieving profile and transaction information.",Security
"5yMail allows users to send anonymous emails using an alias of their choice. Recipients may even reply to emails, and the user can engage in conversation without giving away their identity. Once an email is sent, the sender will receive a receipt of confirmation. Users can access 5yMail's functions programmatically via REST API.",Email
"CHAIN-REDS is a project for promoting access to globally distributed digital resources such as data, services, storage, and tools. Users can access the more than 22 million open access resources contained within the CHAIN-REDS Knowledge Base through the Semantic Search Engine. These resources cover a wide variety of subjects such as geology, anatomy, data science, and medicine. Users may also access the Semantic Search Engine using the CHAIN-REDS REST API.",Reference
"MarineTraffic provides data on millions of daily vessel positions, which users may integrate with their applications or websites using the RESTful API. Users can also get the most recent arrivals and departures for a given port or vessel, all of a vessel's AIS positions, or a popular photo of a vessel to display in their app.",Travel
"Tykli is a data search and data organization service that uses Semantic Web and Big Data technologies to provide solutions for information retrieval and knowledge management. Tykli's proprietary graph analysis algorithm analyzes and processes relationships among data, providing a new data order with concepts indexing and semantic network generation. Tykli service are available via a REST API. API methods include Term, Categories, Linked, Connected, Related, and Search. An API key is required.",Search
"Barrio.mx is a guide to the best places to eat, drink, shop and relax in Tijuana, Rosarito and Ensenada Mexico. Reviews are written by locals who are in the know about all the best places. The guide contains accurate location listings that have been personally confirmed by a member of the Barrio.mx staff. The Barrio.mx REST API allows developers to integrate accurate, up-to-date location information from the Barrio.mx guide. Use the API to search for businesses or landmarks, receive information on a location and get pictures of specific locations. Responses are returned in JSON.",Travel
"Signifyd is an e-commerce fraud prevention service. It can identify devices uniquely and use a customer's IP address to determine their location, even detecting when customers are using proxies to spoof their IP addresses. Signifyd can learn about customers from their social activity and past behaviors and use public records to perform reverse lookups on addresses, names, and phone numbers. Signifyd can use the BIN (Bank Identification Number) of a credit card, debit card, pre-paid card, or gift card to identify the issuing institution and its location. The service can also find out how many orders a customer is attempting across multiple merchants and use cross-industrial blacklists to identify fraudulent users before they can make purchases.",Security
"42matters provides a searchable Android app database that contains over 500,000 apps. This database is available in free and enterprise editions via API to those who want to help their users find new apps. The free version is for non-commercial use only and requires an attribution link. The enterprise edition allows for more customization and daily requests.",Search
"Okta is an enterprise-level solution for centrally storing and managing user profiles and identity data. It enables single sign-on authentication across multiple applications and deviceseven when they are behind firewalls or in the cloudand makes it easier for IT personnel to access essential employee information. Okta can also store user data in different schemas depending whether the user is an employee, manager, customer, or contractor. Developers can programmatically access user profile data stored with Okta via REST API.",Security
PaeDae is an advertising solution that turns ads for applications into engaging and rewarding experiences for application users. Advertisers can use PaeDae to place ads in applications and developers can use it to integrate ads into their applications for monetization and user engagement. The PaeDae API allows developers to access and integrate the functionality of PaeDae with other applications. Public documentation is not available; interested developers should sign up here: http://paedae.com/developers/.,Advertising
"Copernica is a service for creating, running, and tracking email and SMS marketing campaigns. It can help users collect information on contacts using web forms and surveys and then send mailings out to all recipients on file. Users may also filter recipients by interest, purchase, or activity. Copernica can set up automated, targeted, multichannel campaigns containing a series of personalized messages. Detailed statistics are provided for each mailing sent out. Copernica comes with a variety of generic integrations, but users may also create custom integrations using the Copernica SOAP API.",Email
"Wurl is a video streaming service designed to provide app-makers with access to high-quality video from publishers around the world. Wurl scans the internet for free, professionally-produced content to add to their index. They don't collect either user-generated or pirated videos. Wurl is a white-label service, which allows app-makers to deliver content from their own platforms, under their own brands. The Wurl API allows developers to set up browse and search interfaces, retrieve video metadata, and play videos through their apps.",Video
"Yieldkit is an asset and website monetization service that works through both companies and an affiliate network. The Yieldkit API uses Javascript, allows for more advanced integration, and is designed for big websites with special integration needs, Content Networks, Traffic Networks, Mobile Apps, Cashback Systems and Coupon Sites. An account is required with service, and an API key is used for authentication.",Advertising
"Adzuna is a UK based job, property and car advertising service. The Adzuna API allows users to incorporate Adzuna's up-to-the-minute employment data to power user websites, and perform reporting and data visualizations. The API allows users to query to get ads, get employment information, get categories, and check which version is currently being used. The API uses REST calls, and returns JSON, JSONP, or XML. An account and API Key are required with service.",Advertising
"Offline Geolocation allows cellphones to derive a location without being connected to the internet or data networks. The service is designed as a failover system when a user has no Internet connection, due to roaming or coverage issues, and GPS has not been turned on, or is not available indoors. The Offline Geolocation developer kit allows users to access a global database of mobile phone cell tower locations, along with data such as MCC, MNC, LAC and cellid information. The service is free to use.",Telephony
G Adventures provides small group tours around the globe with a focus on delivering authentic adventures in a responsible and sustainable manner. The G Adventures API provides real-time developer access to trip information. This information can be used to create trip research and booking solutions.,Travel
"Maxi Response is an email marketing service that allows you to run email marketing campaigns by helping you manage subscriber lists, create custom email templates, and run deliverability audits. Maxi Response provides a simple REST API as part of their Transactional Email Gateway service. The Transactional Email Gateway is a simple, fast email delivery service that allows for the reliable delivery of email marketing newsletters or single recipient transactional emails with detailed delivery statistics. API documentation is available upon signup and service.",Email
"Tripping allows users to search for vacation rentals across multiple rental sites, giving visitors access to more than one million short-term rentals and vacation homes around the world. The Tripping API allows developers to search for properties within a given area or to retrieve details about a given listing, such as rates, reviews, and availability.",Travel
"The Trusted Computing Group defines specifications that allow computers to exchange information about their hardware and software configurations via the internet. This allows computers to trust each other more, but it also raises some concerns over privacy. Privacy CA allows users to protect their privacy while still establishing remote trust by letting them obtain certificates verifying their trustworthiness. There are three levels of certification that Privacy CA offers and validates. Certificates can be requested and validated programmatically via REST API.",Security
"Byte Plant provides email processing and management services and offers both software and services. International Phone Number Validation API allows users to check Status: Valid or invalid, Line type: Fixed line, mobile, VoIP, pager etc., Geolocation: Region and city, Phone number correction and re-formatting according to national and international standards. The service uses REST calls, returns JSON, and uses both SSL and API Keys for authentication.",Telephony
"Byte Plant provides email processing and management services and offers both software and services. Email Address Online Validation API allows users to do Syntax verification, DNS validation including MX record lookup, Disposable email address (DEA) detection, SMTP connection and availability checking, Temporary unavailability detection, Mailbox existence checking, Catch-All testing,and Greylisting detection. The API uses REST calls and returns JSON.",Email
"Drip is an email marketing service designed to capture contact information from website visitors using opt-in forms. These forms only require users to make a few style choices before they're ready to go. Users can customize their automated email contact sequence based on their own blog posts or e-books, or they can use Drip's pre-made sequence blueprints. Drip's opt-in forms can be inserted into websites using a snippet of JavaScript code.",Email
"Nymi is a technology-enabled wristband that keeps track of your unique heartbeat and uses the heartbeat to log users in to applications, devices, and other password-protected things. The Nymi API and SDK allow developers to access and integrate the functionality of Nymi with other applications and devices. Public documentation is coming soon; interested developers should follow up here: http://developers.getnymi.com/.",Security
"The Dublin Bus Real Time API provides users with access to Real Time Passenger Information (RTPI) for the Dublin Bus service. The API is not affiliated with either Dublin Bus or the RTPI's providers. As a result, this API is provided for non-commercial use only, and changes to the RTPI site may cause the API to break without warning. Information on stops and services can be retrieved using REST calls that return JSON and JSONP.",Transportation
"Hubba is a brand management platform that helps retailers and brands manage product data for omni-channel commerce. The Hubba platform allows brands and retailers to manage and share their consumer-ready product information in order to ensure that the right message gets to the right consumers at exactly the right moment in the purchase decision process. Hubba offers a REST API for programmatic access to Hubba services. API endpoints include searchByTag, listFolder, listProducts, getEntity, updateEntity, createProductEntity, createFolder, deleteEntity, and uploadMedia. An API Key is required.",Advertising
"CEPALSTAT provides a gateway to all the statistical information of Latin America and the Caribbean countries that has been collected, systematized and published by Economic Commission of Latin America and the Caribbean (ECLAC). Use the CEPALSTAT database to export data and cross-tabulate indicators to produce tables combining data from different series, countries, and time periods. CEPALSTAT offers a RESTful API for programmatic access to over 1,000 indicators. Responses are returned as XML documents. To use the CEPALSTAT API, you must register as application developer.",Reference
"The Marker API searches United States trademark records and returns matched results. Returned data includes word mark, goods and services code, description, and registration date. Public documentation is not available; API access comes with account service.",Search
"Ismuser allows users to embed real-time videoconferencing services into their websites and applications using JavaScript. This allows users to engage in live, cross-platform communication with up to 10 people at a time. Developers can customize the appearance of Ismuser in their application, and the service's online dashboard provides detailed usage statistics. Additional applications can be embedded with the service to enable users to share videos, images, etc. If only a live chat is needed, Ismuser can provide that, as well.",Telephony
CallFire is an online text and voice messaging platform designed to meet the needs of a variety of users and organizations. The platform comes with APIs for integrating its functions into third-party applications and services. The Voice Broadcast API allows users to upload and broadcast recorded message files in either WAV or MP3 format.,Telephony
CallFire is an online text and voice messaging platform designed to meet the needs of a variety of users and organizations. The platform comes with APIs for integrating its functions into third-party applications and services. The CallFire Postbacks API allows developers to get information about their sent messages and phone calls via postbacks. Developers will need a website capable of hosting PHP files in order to accept the postbacks.,Telephony
"Conductor is a search engine optimization firm that helps users increase site traffic and increase revenue. The API, which uses REST calls and returns JSON, allows users to integrate the Conductor service into third-party apps where users can Integrate Searchlight with data from other marketing channels including paid search. Integrate with web content management systems and provide feedback to content authors and editors in real time as well as Integrate Searchlight with business processes and move away from copy-paste emails and error-prone spreadsheets. An account is required with service.",Advertising
"REST Countries provides a simple API for getting information about the world's nations via REST calls. These calls allow users to retrieve all available countries or to retrieve a given country's currency, capital city, calling code, region, sub-region, ISO 639-1 language, name, or country code.",Reference
"MyDigitalClients (MDC) provides marketing automation services for small businesses. It allows users to identify site visitors, develop profiles for each visitor, sort and nurture leads, and contact qualified leads. MDC also helps users manage email marketing campaigns, social media campaigns, web forms, and email lists. Analytics, alerts, and reports help users handle campaigns more effectively. Paying users get access to MDC's API, which allows them to create mashups and integrate MDC with other systems.",Advertising
"The FraudLabs Pro API is a credit card screening engine that check transactions for online frauds utilizing a wide array of metrics and fraud detection analytics. AN account is required with service, and an API key is required. The API uses REST calls and returns JSON and XML. Developers and merchants can integrate this fraud screening API in any of their e-commerce websites or shopping carts in order to evaluate high risk orders, reduce chargeback, improves operation efficiency and provides business intelligent.",Security
"Clearleap is a video library distribution service that allows users to manage, distribute, control, and interact with video libraries across tvs and multimedia displays. The Clearleap API allows users to access and control resources within the Clearleap platform, as well as automate tasks. An account is required with service.",Video
"VIN Decoder is a VIN information service where users can can input a vehicles VIN number and the decoded information back. The VIN will return manufacturer data including: Manufacturer, manufacturer address, product type, make, check digit, model year,plant code, and sequential number, as well as data from police data bases. The VIN Decoder API uses REST API to allows users to submit VIN numbers. The service is free to use, but the API has tiered pricing for usage.",Transportation
"The MCLA (Men's Collegiate Lacrosse Association) is the United States' organization for non-varsity college lacrosse programs. The MCLA website offers two APIs: the Expert API and the Widget API. The Expert API allows developers who have obtained the MCLA Board's approval to access rosters, schedules, final game scores, and player statistics. The Widget API allows developers to quickly post information on upcoming games, standings, team schedules, and teams rosters to their website using JavaScript.",Sports
"The Aol On Network is a large, online library of videos covering news, pop culture, and more within a wide range of channels. The AOL On Network API allows developers to integrate video content, displays, and functionality into their websites. Specifically, developers can get information on videos, studios, and categories as well as search the video library, access the video feed for a specific URL, and access daily or monthly statistics for their account.",Video
"The Blink Network is an electric vehicle charging infrastructure, composed of charging stations spread through 16 major metropolitan areas throughout the US. The BlinkMap API provides a RESTful interface for receiving network information such as charger locations, operation hours, rates, network status, and more. The API is able to retrieve all information in a geographical area, search a geographical area for objects and data types matching specified terms, or retrieve detailed information describing a specified single location.",Transportation
"MSW (Magic SeaWeed) provides detailed, long range surf forecasts for almost 3000 beaches in 180 countries. The MSW Forecast API offers programmatic access to core weather and ocean data specifically purposed for surfing. The RESTful API provides access to data types such as breaking wave height, wind, temperature, and sea level pressure.",Sports
"SpotXchange is a video advertising exchange where ad buyers bid on video ad inventories. The site services more than 400 million actions per day. The spotXchange API allows users to access reports on user account data including, revenue reports, traffic reports, advertiser level reports, and referrer level report. The API uses REST calls and an OData service structure. An account is required with service.",Advertising
"CGI is a business information and technology company. One service they provide is Autoplus, a database of Canadian automobile policy and claims information. Its records span more than 15 years and include 40 million policy records and 30 million claims. This information can be accessed using a driver's license or a policy number. Reports can be obtained at different levels of detail, ranging from Autoplus Classic to Autoplus Platinum. Users may access CGI Autoplus using the internet, web services, the API, or a host-host connection.",Reference
"Happy Grasshopper is an email marketing services provider that writes and delivers fun and friendly messages. Happy Grasshopper requires no contract, has no setup or cancellation fees, and features a 100% money back guarantee. The Happy Grasshopper API provides programmatic access to its services. The API supports actions such as retrieving previously sent emails, retrieving user contact data, managing users profiles, and much more.",Email
"Lokad is a Big-Data solutions provider. It utilizes servers and cloud computing capabilities to manager and interpret large data sets on behalf of its users, with an emphasis on forecasting and optimization. The BotDefender service, provided by Lokad, is an anti-screen scraping service that prevents the competition from automatically collecting your pricing information for use in competitive models and comparisons. The BotDefender API uses REST script in place of the standard price, to replace the scrape-able price with the unscrape-able one. An account is required with service. Protect an online store from the automated retrieval of its prices by robots.",Security
Teads is a platform for video advertising. Teads provides features and solutions for video advertising for content publishers and networks and advertisers. The Teads API allows developers to access and integrate the functionality of Teads with other applications. Public documentation is not available; interested developers should contact Teads for more information: http://teads.tv/#/contact.,Advertising
"Vimeo is a website that allows users to view other peoples' videos and upload their own for others to see. No advertisements are added before, during, or after users' videos, and basic accounts are free. The Vimeo ActionScript API allows developers to integrate the Vimeo Flash player (called Moogaloop) into their Flash projects using ActionScript 3. This is accomplished via VimeoPlayer.as, a simple ActionScript class for adding Vimeo video support and API access to Flash projects. Developers are free to expand the class with any additional methods or variables that they need for their project.",Video
"Vimeo is a website that allows users to view other peoples' videos and upload their own for others to see. No advertisements are added before, during, or after users' videos, and basic accounts are free. The Vimeo oEmbed API allows users to retrieve the embed code for any Vimeo video. It uses the oEmbed open standard, which is designed specifically for embedding videos and images into websites. Developers can use the API to get the embed code of any video for which they have the URL. Developers may use the Vimeo oEmbed API without registering their applications.",Video
"Vimeo is a website that allows users to view other peoples' videos and upload their own for others to see. No advertisements are added before, during, or after users' videos, and basic accounts are free. The Vimeo JavaScript API allows users to control playback for an embedded Vimeo player, modify the embedded player, or retrieve information on the current status of playback or the player. When a video is embedded using the Universal Embed Code, developers can control it using a mini JS library called Froogaloop, or they can interact with the API manually by sending serialized JSON objects. A previously available version of the API intended for Flash players has been deprecated.",Video
"Vimeo is a website that allows users to view other peoples' videos and upload their own for others to see. No advertisements are added before, during, or after users' videos, and basic accounts are free. The Vimeo Advanced API provides REST methods for adding, retrieving, modifying, and deleting data on the Vimeo website. Information assets exposed by this API pertain to user activities, albums, categories, channels, contacts, groups, forums, people, videos, video comments, video embedding, and video uploads. Unlike the Simple API, users of the Advanced API will need register their applications and use OAuth authentication.",Video
"SMSAPI.PL is a Polish based mobile marketing service that aims to both inform customers of company news, as well as provide a bulk sms marketing service. The SMSAPI.PL API, which is available in both REST and SOAP formats allows the integration of SMS notification of any commercially available software, maintenance services, premium rate, and the ability to conduct campaigns in the form of MMS multimedia messages. An account is required with service, and SSL is used for authentication.",Advertising
"mOTP is an open source, two-factor authentication service. It uses a missed call rather than SMS to send users a One Time Password (OTP) for use in two-factor authentication. This allows users to side-step the costs and delays that can be associated with SMS, which is used in most other two-factor authentication services. Developers can integrate mOTP into their own applications or web-based services using REST calls.",Security
"BlockScore is a customer authentication and verification service that aims to assists users with handling the regulatory compliance issues surrounding international payment and transfers. The BlockScore API uses REST calls and allows users to submit data for authentication, off-load data, verify passports, and perform other tasks. An account, and an API key are required for use. SSL is required for all calls.",Security
"Adobe Marketing Cloud is a comprehensive, integrated marketing solution composed of services such as Adobe Analytics, Adobe Target, Adobe Social, Adobe Experience Manager, and Adobe Media Optimizer. These allow marketers to manage, track, and optimize their campaigns and promotional materials. The Adobe Genesis service allows users to consolidate their online marketing tools in a central location. The Adobe Marketing Cloud also provides a collaborative user interface and dashboards that update in real time. The Adobe Marketing Cloud provides developers with an Enterprise API and a Partner API. The Enterprise API is designed for use by Adobe Marketing Cloud customers. It provides programmatic methods for collecting, importing, exporting, and running reports on customer data. The Partner API is designed for use by Adobe Genesis partners, allowing them to use integrated data to improve their businesses.",Advertising
"AvidMobile is a company that offers white-label mobile marketing and advertising services. AvidMobile provides a SOAP API that gives developers programmatic access to their SMS marketing services. Its functions include sending and receiving SMS, creating keywords and responses, converting RSS feeds to text, getting usage data, and more.",Advertising
"Oktopost is a social media platform designed specifically for the needs of B2B marketers, allowing for large scale social media distribution and establishing actual ROI of social campaigns. The API allows for programmatic access to powerful Oktopost features. This includes making calls to list campaigns, get, update, create, and delete campaigns, get conversions, list, get, create, update, and delete messages. The service uses REST calls and requires SSL for authentication. Please view the Google doc for complete documentation.",Advertising
"Deep Voyage is an Egyptian dive operation, created and run by experienced divers. Divers will travel on the ship, Liberty, which has a maximum speed of 12 knots, a spacious dive deck, and fully air conditioned cabins. The Deep Voyage API allows users to send booking requests and subscribe or unsubscribe from the Deep Voyage mailing list.",Travel
"Boronia Travel Centre is an Australian travel agency that specializes in battlefield tours to locations like Gallipoli and the Western Front. It is also the official travel agent for the Australian War Memorial Battlefields tours. Developers can use the Boronia Travel Centre API to retrieve information on types of holidays, types of hotels, and regions.",Travel
"Claim4Flights is an English service that helps travelers who have delayed, cancelled, or rerouted flights receive compensation under EU law (EU261). The site advocates for travelers and only takes compensation if the claim is approved. The Claim4Flights API isn't public yet, but interested developers should email claimteam@claim4flights.com.",Travel
"Comunio is a fantasy European football / soccer service that lets users create and manage their own Bundesliga teams and leagues with their friends. Bundesliga is a professional German football league. Comunio site members can manage their teams' line-ups, tactics, and transfers. Although much of the website is available in many languages, some parts of the site (e.g. news) are only available in German.",Sports
"Sprylogics is a mobile solutions provider. Sprylogics provides capability of local search for mobile applications through their product, Poynt. The Sprylogics API allows developers to access and integrate the functionality of Sprylogics with other applications. Some example API methods include searching for events, searching for products, accessing analytics, and sharing search results.",Search
"Quantcast is a digital advertising company focused on direct audience measurement and real-time advertising. The Quantcast Measurement API provides customers with programmatic access to their Quantcast audience and traffic data. The REST API accesses data such as traffic by network, site, or subdomain, as well as audience segments and demographics.",Advertising
"The RidePSTA API provides programmatic access to bus information from the Pinellas Suncoast Transit Authority. The API is capable of delivering real time arrival predictions and location data. Use requires a RidePSTA.net account and developer key. The API uses the BusTime system from Clever Devices, Inc.",Transportation
"FantasyData.com provides NFL statistical data for fantasy football professionals, developers, and fans. Products include web services, historical team and fantasy database downloads, and a RESTful API. The FantasyData NFL API provides developer access to NFL data including live scores, season information, team stats, and box scores. The API is delivered over the Apiphany platform and is offered at four subscription levels, depending on data needs.",Sports
"DancesportInfo is an international dance information website that is available to visitors around the world in 19 languages. It provides current news and interviews with professional dancers and coaches along with an active forum with contributions by thousands of registered users. DancesportInfo maintains extensive databases of couples and individual dancers, dancers looking for partners, competition results, and competition photographs. Developers can access much the site's ample information programmatically via SOAP API.",Sports
"CampusBooks is a search service designed to help users find the lowest prices on new and used textbooks. Rather than selling textbooks itself, CampusBooks allows users to search for the best prices among dozens of bookstores, thousands of sellers, and more than 8 million new and used books. Developers can integrate textbook search functions into their own websites and applications using the CampusBooks REST API.",Search
"MxToolBox allows users to find out whether a given domain has been blacklisted by checking its IP address against 105 DNS-based blacklists. Users can also verify reverse DNS records, perform simple open relay checks, and measure response times. Developers can use the REST-based MxToolBox API to determine whether their domain name or email server has been blacklisted.",Email
"XQueue is a German email marketing technology company. One product it offers is Maileon, a professional email newsletter creation, sending, and analytics platform. It is capable of generating up to 100 million emails per hour, ensuring that all customers receive their newsletters at the same time. These newsletters can be made with Maileon's pre-existing email templates, or users can create their own. Users can also create distribution lists and filter recipients using a variety of criteria. Maileon's reporting services can collect raw data on metrics such as sending time and delivery success and convert them into graphical data representations. Developers can integrate XQueue Maileon with other apps and services using its REST API. Code samples, tutorials, and other assistance are provided. The API documentation is available in both English and German.",Email
"Sendwithus creates tools that make transactional mail more effective and efficient for marketers. Services include A/B testing support and user analytics. The sendwithus API provides email templating for SendGrid, Mailgun, Mandrill, and Amazon SES. Developers write code once and let marketers update content as needed.",Email
